#=====================================================
# File created:        Sun-22-Feb-2026-at-06-02-16PM
# Size of lattice:     50x50
# Number of MC steps:  5000
# Reduced temperature: 0.500
# Run time (s):        22.128902
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2515.1340  0.2608 
   00001    0.6832   -3686.8479  0.2691 
   00002    0.6024   -4462.5044  0.2692 
   00003    0.5780   -4976.1274  0.2807 
   00004    0.5592   -5375.5786  0.2864 
   00005    0.5560   -5757.5645  0.2950 
   00006    0.5064   -6094.7393  0.2931 
   00007    0.4992   -6330.6465  0.2951 
   00008    0.4920   -6540.1167  0.2959 
   00009    0.5108   -6795.6646  0.2914 
   00010    0.4696   -6873.0117  0.2958 
   00011    0.4584   -6943.9258  0.2966 
   00012    0.4660   -7077.1333  0.2944 
   00013    0.4544   -7205.6035  0.3019 
   00014    0.4568   -7319.2842  0.2991 
   00015    0.4648   -7347.0708  0.3019 
   00016    0.4688   -7409.2812  0.3011 
   00017    0.4432   -7497.9365  0.2986 
   00018    0.4312   -7542.1958  0.2970 
   00019    0.4496   -7576.6914  0.3075 
   00020    0.4588   -7573.5200  0.3107 
   00021    0.4348   -7671.4800  0.3152 
   00022    0.4440   -7655.6890  0.3194 
   00023    0.4340   -7756.0718  0.3183 
   00024    0.4428   -7829.1265  0.3206 
   00025    0.4276   -7842.4502  0.3182 
   00026    0.4236   -7876.4614  0.3107 
   00027    0.4364   -7883.5215  0.3151 
   00028    0.4420   -7953.2827  0.3182 
   00029    0.4060   -8008.4380  0.3196 
   00030    0.4188   -8015.7251  0.3217 
   00031    0.4232   -8071.2129  0.3231 
   00032    0.4296   -8040.2979  0.3231 
   00033    0.4356   -8074.3369  0.3339 
   00034    0.4156   -8094.4136  0.3391 
   00035    0.4172   -8106.1709  0.3458 
   00036    0.4288   -8157.1035  0.3422 
   00037    0.4308   -8150.5176  0.3416 
   00038    0.4352   -8194.4863  0.3392 
   00039    0.4296   -8180.0757  0.3351 
   00040    0.4192   -8159.4697  0.3324 
   00041    0.4312   -8176.6411  0.3273 
   00042    0.3980   -8187.8257  0.3294 
   00043    0.4168   -8261.7930  0.3351 
   00044    0.4448   -8264.2334  0.3295 
   00045    0.4304   -8236.6445  0.3311 
   00046    0.4232   -8205.5615  0.3318 
   00047    0.4228   -8241.8135  0.3303 
   00048    0.4092   -8242.0527  0.3324 
   00049    0.4240   -8277.0947  0.3303 
   00050    0.4264   -8270.2510  0.3292 
   00051    0.4308   -8281.1826  0.3341 
   00052    0.4052   -8297.4824  0.3326 
   00053    0.4200   -8306.5518  0.3359 
   00054    0.4244   -8281.8154  0.3385 
   00055    0.4140   -8299.0166  0.3375 
   00056    0.4188   -8320.0273  0.3402 
   00057    0.4072   -8275.5645  0.3360 
   00058    0.4356   -8274.5986  0.3308 
   00059    0.4160   -8261.4307  0.3242 
   00060    0.4344   -8259.6875  0.3249 
   00061    0.4148   -8302.8223  0.3247 
   00062    0.4188   -8288.3633  0.3287 
   00063    0.4180   -8302.8945  0.3230 
   00064    0.4248   -8326.4219  0.3280 
   00065    0.4276   -8296.7705  0.3350 
   00066    0.4060   -8299.0098  0.3326 
   00067    0.4160   -8209.3154  0.3361 
   00068    0.4276   -8215.5713  0.3373 
   00069    0.4244   -8247.6055  0.3414 
   00070    0.4332   -8289.9756  0.3479 
   00071    0.4208   -8302.3662  0.3527 
   00072    0.4344   -8297.4980  0.3513 
   00073    0.4128   -8300.7119  0.3499 
   00074    0.4332   -8321.0869  0.3427 
   00075    0.4240   -8308.9297  0.3465 
   00076    0.4260   -8339.2949  0.3434 
   00077    0.4224   -8334.1328  0.3405 
   00078    0.4140   -8341.9561  0.3329 
   00079    0.4332   -8382.4600  0.3243 
   00080    0.4180   -8385.2646  0.3263 
   00081    0.4228   -8347.5996  0.3236 
   00082    0.4280   -8354.1562  0.3204 
   00083    0.4112   -8384.5605  0.3216 
   00084    0.4240   -8373.7920  0.3191 
   00085    0.4056   -8329.6475  0.3179 
   00086    0.4244   -8351.7100  0.3189 
   00087    0.4204   -8356.9160  0.3169 
   00088    0.4052   -8363.6816  0.3120 
   00089    0.3996   -8352.4336  0.3142 
   00090    0.4064   -8320.4375  0.3111 
   00091    0.4208   -8325.3643  0.3073 
   00092    0.4128   -8308.6367  0.3080 
   00093    0.4240   -8303.7734  0.3072 
   00094    0.4116   -8285.7734  0.3053 
   00095    0.4260   -8342.7842  0.3047 
   00096    0.4208   -8346.3027  0.3031 
   00097    0.4112   -8400.5820  0.2967 
   00098    0.4108   -8388.6973  0.2985 
   00099    0.4240   -8441.2393  0.2956 
   00100    0.4108   -8451.0020  0.2985 
   00101    0.4140   -8455.1016  0.2950 
   00102    0.4104   -8466.7109  0.2967 
   00103    0.4212   -8408.8262  0.2921 
   00104    0.4412   -8402.5156  0.2890 
   00105    0.4100   -8388.0781  0.2902 
   00106    0.4012   -8395.5781  0.2868 
   00107    0.4016   -8423.6543  0.2720 
   00108    0.4240   -8392.5527  0.2729 
   00109    0.4132   -8383.5322  0.2746 
   00110    0.4284   -8399.8447  0.2794 
   00111    0.4164   -8357.7422  0.2759 
   00112    0.4092   -8318.3135  0.2768 
   00113    0.4104   -8321.5273  0.2801 
   00114    0.4244   -8335.2441  0.2859 
   00115    0.4140   -8334.9590  0.2911 
   00116    0.4124   -8334.2510  0.2917 
   00117    0.4168   -8359.7627  0.2933 
   00118    0.4048   -8383.1816  0.2921 
   00119    0.4028   -8408.1768  0.2950 
   00120    0.4040   -8370.8594  0.2880 
   00121    0.4140   -8437.3105  0.2887 
   00122    0.4272   -8443.5840  0.2892 
   00123    0.4236   -8431.2295  0.2966 
   00124    0.4128   -8451.3291  0.2996 
   00125    0.4176   -8462.0986  0.2991 
   00126    0.4032   -8477.1553  0.2972 
   00127    0.4096   -8446.5166  0.3075 
   00128    0.4040   -8440.6846  0.3096 
   00129    0.4016   -8393.2197  0.3061 
   00130    0.4160   -8417.6045  0.3153 
   00131    0.4056   -8426.1377  0.3136 
   00132    0.4004   -8429.0498  0.3123 
   00133    0.4148   -8443.1777  0.3172 
   00134    0.4344   -8431.3418  0.3194 
   00135    0.4052   -8475.1006  0.3285 
   00136    0.4136   -8488.5566  0.3273 
   00137    0.4064   -8479.7715  0.3329 
   00138    0.4040   -8486.0459  0.3361 
   00139    0.4220   -8461.1719  0.3278 
   00140    0.4172   -8456.1768  0.3261 
   00141    0.3964   -8467.2871  0.3282 
   00142    0.4132   -8421.9258  0.3252 
   00143    0.4316   -8449.9795  0.3259 
   00144    0.4120   -8423.7002  0.3267 
   00145    0.4312   -8439.8291  0.3267 
   00146    0.4320   -8412.6924  0.3177 
   00147    0.3976   -8406.4414  0.3181 
   00148    0.4072   -8413.0820  0.3206 
   00149    0.4316   -8396.6758  0.3191 
   00150    0.4160   -8463.6514  0.3147 
   00151    0.4308   -8416.9150  0.3074 
   00152    0.4056   -8409.2012  0.3166 
   00153    0.4208   -8460.6260  0.3147 
   00154    0.4052   -8512.2305  0.3068 
   00155    0.4060   -8505.3535  0.3095 
   00156    0.4088   -8471.4854  0.3115 
   00157    0.4224   -8448.6934  0.3129 
   00158    0.4132   -8476.8535  0.3138 
   00159    0.4172   -8514.5039  0.3073 
   00160    0.4228   -8495.0518  0.3108 
   00161    0.4128   -8491.0889  0.3085 
   00162    0.4100   -8497.2881  0.3098 
   00163    0.4080   -8477.3154  0.3155 
   00164    0.4088   -8411.3926  0.3127 
   00165    0.4212   -8417.1328  0.3079 
   00166    0.4260   -8441.0391  0.3030 
   00167    0.4132   -8502.3916  0.3078 
   00168    0.4176   -8456.9561  0.3066 
   00169    0.4292   -8472.0098  0.3053 
   00170    0.4036   -8470.5127  0.3097 
   00171    0.4136   -8503.7314  0.3149 
   00172    0.4064   -8497.7969  0.3112 
   00173    0.4128   -8499.8135  0.3130 
   00174    0.3992   -8476.1924  0.3144 
   00175    0.4084   -8489.5020  0.3107 
   00176    0.4264   -8465.7598  0.3161 
   00177    0.4076   -8455.6504  0.3155 
   00178    0.4068   -8466.7686  0.3132 
   00179    0.4136   -8445.6348  0.3118 
   00180    0.4116   -8437.1064  0.3135 
   00181    0.4272   -8435.2031  0.3079 
   00182    0.4200   -8444.9258  0.3067 
   00183    0.4124   -8452.9404  0.3098 
   00184    0.4196   -8472.3711  0.3086 
   00185    0.4132   -8467.1758  0.3039 
   00186    0.3932   -8502.8701  0.3035 
   00187    0.4316   -8463.4658  0.3028 
   00188    0.4108   -8419.0029  0.3076 
   00189    0.4148   -8408.7705  0.3054 
   00190    0.4072   -8432.6406  0.2979 
   00191    0.4160   -8438.6289  0.3040 
   00192    0.4156   -8482.3193  0.3137 
   00193    0.4108   -8491.3770  0.3092 
   00194    0.4112   -8519.3086  0.3113 
   00195    0.4140   -8516.7510  0.3076 
