#=====================================================
# File created:        Sun-22-Feb-2026-at-06-03-13PM
# Size of lattice:     100x100
# Number of MC steps:  2000
# Reduced temperature: 0.500
# Run time (s):        32.703793
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10174.3389  0.2526 
   00001    0.6731  -15008.6602  0.2590 
   00002    0.6194  -18205.6387  0.2571 
   00003    0.5795  -20532.1133  0.2603 
   00004    0.5502  -22208.1465  0.2574 
   00005    0.5356  -23488.2109  0.2584 
   00006    0.5191  -24611.1543  0.2592 
   00007    0.5141  -25482.7754  0.2588 
   00008    0.4953  -26305.8691  0.2552 
   00009    0.4885  -26915.5254  0.2540 
   00010    0.4802  -27479.3652  0.2576 
   00011    0.4677  -27983.4648  0.2573 
   00012    0.4618  -28464.3164  0.2561 
   00013    0.4655  -28790.8281  0.2559 
   00014    0.4567  -29161.5586  0.2533 
   00015    0.4538  -29488.3613  0.2556 
   00016    0.4574  -29770.8594  0.2534 
   00017    0.4569  -29928.2832  0.2551 
   00018    0.4511  -30059.6777  0.2530 
   00019    0.4499  -30257.7402  0.2516 
   00020    0.4534  -30489.7051  0.2526 
   00021    0.4316  -30543.6543  0.2543 
   00022    0.4445  -30740.3340  0.2512 
   00023    0.4481  -30877.2031  0.2546 
   00024    0.4362  -30869.1758  0.2556 
   00025    0.4419  -30930.9297  0.2525 
   00026    0.4442  -31159.3594  0.2511 
   00027    0.4431  -31302.6113  0.2514 
   00028    0.4427  -31320.1621  0.2523 
   00029    0.4437  -31441.8281  0.2557 
   00030    0.4394  -31538.4902  0.2543 
   00031    0.4371  -31659.1562  0.2558 
   00032    0.4284  -31644.6777  0.2550 
   00033    0.4382  -31749.8398  0.2537 
   00034    0.4351  -31761.7793  0.2563 
   00035    0.4396  -31828.3320  0.2564 
   00036    0.4334  -31872.5527  0.2572 
   00037    0.4349  -31963.2109  0.2568 
   00038    0.4296  -32095.2383  0.2577 
   00039    0.4328  -32077.1055  0.2570 
   00040    0.4228  -32097.4902  0.2613 
   00041    0.4253  -32182.6953  0.2595 
   00042    0.4232  -32259.2031  0.2616 
   00043    0.4250  -32259.4707  0.2591 
   00044    0.4225  -32378.1621  0.2608 
   00045    0.4298  -32468.4551  0.2631 
   00046    0.4280  -32498.1641  0.2646 
   00047    0.4266  -32523.9727  0.2647 
   00048    0.4254  -32567.0098  0.2657 
   00049    0.4199  -32645.4434  0.2700 
   00050    0.4182  -32658.5352  0.2708 
   00051    0.4245  -32655.3750  0.2713 
   00052    0.4304  -32720.2949  0.2702 
   00053    0.4299  -32668.6445  0.2712 
   00054    0.4187  -32677.5742  0.2730 
   00055    0.4198  -32710.0801  0.2760 
   00056    0.4180  -32651.7520  0.2767 
   00057    0.4214  -32650.1289  0.2760 
   00058    0.4310  -32674.9375  0.2736 
   00059    0.4199  -32665.6016  0.2703 
   00060    0.4221  -32690.8535  0.2691 
   00061    0.4227  -32727.6953  0.2678 
   00062    0.4160  -32865.7734  0.2684 
   00063    0.4208  -32942.9141  0.2678 
   00064    0.4237  -32893.5586  0.2703 
   00065    0.4199  -32875.5000  0.2666 
   00066    0.4136  -32879.4180  0.2636 
   00067    0.4275  -32832.6367  0.2627 
   00068    0.4176  -32843.3672  0.2620 
   00069    0.4221  -32803.8555  0.2631 
   00070    0.4221  -32883.1641  0.2617 
   00071    0.4233  -32849.2188  0.2608 
   00072    0.4284  -32865.1992  0.2601 
   00073    0.4160  -32884.4219  0.2644 
   00074    0.4212  -32926.5938  0.2662 
   00075    0.4200  -32930.4570  0.2711 
   00076    0.4205  -32934.8867  0.2765 
   00077    0.4241  -32974.6758  0.2783 
   00078    0.4216  -33140.9570  0.2787 
   00079    0.4180  -33005.0664  0.2809 
   00080    0.4192  -33025.3398  0.2785 
   00081    0.4230  -33050.1328  0.2769 
   00082    0.4201  -33029.4531  0.2783 
   00083    0.4224  -33005.3320  0.2812 
   00084    0.4206  -32931.2891  0.2843 
   00085    0.4271  -33026.2422  0.2837 
   00086    0.4090  -33041.8633  0.2853 
   00087    0.4124  -33085.1133  0.2886 
   00088    0.4253  -33088.2930  0.2899 
   00089    0.4122  -33151.3164  0.2882 
   00090    0.4197  -33190.3008  0.2874 
   00091    0.4222  -33227.7617  0.2856 
   00092    0.4169  -33111.9727  0.2863 
