#=====================================================
# File created:        Sun-22-Feb-2026-at-06-04-35PM
# Size of lattice:     100x100
# Number of MC steps:  5000
# Reduced temperature: 0.500
# Run time (s):        81.940559
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10230.6045  0.2592 
   00001    0.6780  -14839.7227  0.2657 
   00002    0.6200  -18087.3809  0.2680 
   00003    0.5882  -20379.8848  0.2675 
   00004    0.5523  -21985.1133  0.2662 
   00005    0.5279  -23319.5762  0.2663 
   00006    0.5193  -24495.9531  0.2678 
   00007    0.5059  -25422.8164  0.2665 
   00008    0.4988  -26303.5469  0.2633 
   00009    0.4866  -26899.6953  0.2643 
   00010    0.4855  -27597.5039  0.2661 
   00011    0.4775  -28024.3496  0.2655 
   00012    0.4614  -28405.3203  0.2706 
   00013    0.4682  -28910.6699  0.2702 
   00014    0.4649  -29163.2266  0.2664 
   00015    0.4648  -29450.6094  0.2682 
   00016    0.4641  -29744.0820  0.2663 
   00017    0.4593  -29981.5547  0.2660 
   00018    0.4539  -30182.6992  0.2654 
   00019    0.4426  -30352.7656  0.2687 
   00020    0.4415  -30469.2754  0.2713 
   00021    0.4464  -30633.1484  0.2703 
   00022    0.4466  -30649.5625  0.2723 
   00023    0.4457  -30845.1035  0.2751 
   00024    0.4438  -30844.3613  0.2706 
   00025    0.4481  -30976.4180  0.2736 
   00026    0.4389  -31075.3750  0.2718 
   00027    0.4434  -31208.1738  0.2728 
   00028    0.4435  -31370.9512  0.2719 
   00029    0.4361  -31425.9375  0.2724 
   00030    0.4426  -31403.7578  0.2723 
   00031    0.4336  -31409.8828  0.2733 
   00032    0.4362  -31481.9043  0.2738 
   00033    0.4387  -31681.7871  0.2748 
   00034    0.4340  -31748.4863  0.2759 
   00035    0.4251  -31827.7871  0.2777 
   00036    0.4358  -31786.3066  0.2754 
   00037    0.4379  -31933.8848  0.2789 
   00038    0.4185  -32030.0098  0.2786 
   00039    0.4265  -32034.1133  0.2770 
   00040    0.4216  -32150.1094  0.2812 
   00041    0.4257  -32158.0977  0.2816 
   00042    0.4270  -32159.9316  0.2828 
   00043    0.4398  -32143.4238  0.2823 
   00044    0.4267  -32190.2207  0.2818 
   00045    0.4385  -32259.2148  0.2807 
   00046    0.4291  -32277.6367  0.2808 
   00047    0.4361  -32275.6348  0.2805 
   00048    0.4226  -32299.1211  0.2821 
   00049    0.4299  -32166.6289  0.2773 
   00050    0.4254  -32280.0391  0.2762 
   00051    0.4238  -32312.2812  0.2758 
   00052    0.4155  -32402.7832  0.2785 
   00053    0.4318  -32470.5430  0.2789 
   00054    0.4311  -32503.1836  0.2784 
   00055    0.4290  -32445.0840  0.2817 
   00056    0.4280  -32514.2832  0.2799 
   00057    0.4270  -32426.3203  0.2794 
   00058    0.4254  -32416.4805  0.2805 
