#=====================================================
# File created:        Sun-22-Feb-2026-at-06-01-39PM
# Size of lattice:     20x20
# Number of MC steps:  2000
# Reduced temperature: 0.500
# Run time (s):        1.038824
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -403.5434  0.2812 
   00001    0.6925    -573.9612  0.3101 
   00002    0.6375    -714.3165  0.3521 
   00003    0.5725    -804.6151  0.3527 
   00004    0.5950    -866.7135  0.3598 
   00005    0.5600    -949.8992  0.3641 
   00006    0.5125   -1012.0731  0.4139 
   00007    0.4825   -1057.3779  0.4413 
   00008    0.4950   -1090.9642  0.4649 
   00009    0.4775   -1112.8528  0.4837 
   00010    0.4900   -1156.6669  0.5018 
   00011    0.4600   -1195.5723  0.5245 
   00012    0.4750   -1223.1696  0.5246 
   00013    0.4475   -1207.2244  0.5288 
   00014    0.3950   -1202.0557  0.5297 
   00015    0.4425   -1198.2877  0.5414 
   00016    0.4575   -1192.7445  0.5272 
   00017    0.4425   -1200.4053  0.5350 
   00018    0.4525   -1247.2177  0.5431 
   00019    0.4400   -1245.9999  0.5665 
   00020    0.4625   -1255.6810  0.5853 
   00021    0.4175   -1265.3945  0.5807 
   00022    0.4275   -1272.2898  0.5748 
   00023    0.4225   -1291.6752  0.5611 
   00024    0.3975   -1273.3734  0.5597 
   00025    0.4975   -1278.1469  0.5778 
   00026    0.4525   -1283.0282  0.5871 
   00027    0.4025   -1303.5580  0.6122 
   00028    0.4150   -1317.6486  0.6263 
   00029    0.4050   -1320.7012  0.6097 
   00030    0.4350   -1313.8474  0.6189 
   00031    0.4400   -1306.5082  0.6130 
   00032    0.3675   -1307.9990  0.6165 
   00033    0.3875   -1315.8733  0.6209 
   00034    0.3875   -1317.4404  0.6148 
   00035    0.4050   -1308.7222  0.6142 
   00036    0.4375   -1314.8899  0.6240 
   00037    0.4350   -1325.3190  0.6275 
   00038    0.4075   -1319.0950  0.6354 
   00039    0.4200   -1324.3201  0.6535 
   00040    0.4600   -1333.0613  0.6557 
   00041    0.4150   -1329.5177  0.6537 
   00042    0.4025   -1319.0253  0.6394 
   00043    0.3925   -1324.1971  0.6442 
   00044    0.4400   -1316.1410  0.6434 
   00045    0.4675   -1309.7269  0.6508 
   00046    0.4250   -1324.9758  0.6570 
   00047    0.4475   -1327.9039  0.6700 
   00048    0.4325   -1312.8984  0.6725 
   00049    0.4225   -1296.2964  0.6604 
   00050    0.3975   -1290.2581  0.6674 
   00051    0.3925   -1302.6117  0.6639 
   00052    0.4525   -1300.8701  0.6701 
   00053    0.4450   -1318.4899  0.6716 
   00054    0.4225   -1341.5092  0.6869 
   00055    0.4400   -1338.9402  0.6862 
   00056    0.4175   -1327.8582  0.6891 
   00057    0.4375   -1324.6201  0.6879 
   00058    0.4375   -1343.2350  0.6783 
   00059    0.4350   -1336.9148  0.6909 
   00060    0.3825   -1325.0748  0.6819 
   00061    0.3900   -1331.1746  0.6982 
   00062    0.4400   -1334.1962  0.7050 
   00063    0.4425   -1321.6794  0.7040 
   00064    0.4225   -1310.8258  0.7104 
   00065    0.4125   -1334.1956  0.7167 
   00066    0.4250   -1333.8619  0.7222 
   00067    0.4200   -1330.8734  0.7215 
