#=====================================================
# File created:        Sun-22-Feb-2026-at-06-01-42PM
# Size of lattice:     20x20
# Number of MC steps:  5000
# Reduced temperature: 0.500
# Run time (s):        2.610993
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -421.6219  0.2634 
   00001    0.6475    -648.8332  0.2824 
   00002    0.6125    -734.3778  0.2535 
   00003    0.5775    -830.9105  0.2726 
   00004    0.5500    -894.1686  0.2679 
   00005    0.5175    -943.2739  0.3017 
   00006    0.5275    -990.0724  0.3268 
   00007    0.4975   -1016.1836  0.3318 
   00008    0.4575   -1041.0574  0.3295 
   00009    0.5100   -1056.8235  0.3213 
   00010    0.5000   -1088.1115  0.3261 
   00011    0.4550   -1115.6273  0.3263 
   00012    0.4800   -1145.3969  0.3214 
   00013    0.5200   -1169.4244  0.3456 
   00014    0.5050   -1163.5372  0.3572 
   00015    0.4650   -1158.6367  0.3625 
   00016    0.4850   -1167.4315  0.3647 
   00017    0.4550   -1201.2458  0.3693 
   00018    0.4125   -1193.4077  0.3759 
   00019    0.4900   -1207.5658  0.3693 
   00020    0.4200   -1215.0270  0.3756 
   00021    0.4250   -1231.7517  0.3823 
   00022    0.4275   -1234.7781  0.3797 
   00023    0.4425   -1222.4840  0.3831 
   00024    0.4525   -1218.7816  0.3820 
   00025    0.4275   -1231.2253  0.3712 
   00026    0.4375   -1239.5928  0.3609 
   00027    0.4500   -1249.8553  0.3703 
   00028    0.4500   -1229.8162  0.3932 
   00029    0.4450   -1254.0088  0.4080 
   00030    0.4400   -1257.3431  0.4205 
   00031    0.4375   -1265.1138  0.4225 
   00032    0.4575   -1261.3979  0.4115 
   00033    0.4250   -1268.8085  0.4056 
   00034    0.4650   -1267.8594  0.4062 
   00035    0.4475   -1272.7467  0.3930 
   00036    0.4150   -1264.7631  0.4094 
   00037    0.4900   -1260.5691  0.4375 
   00038    0.4400   -1258.5981  0.4523 
   00039    0.4525   -1274.6194  0.4649 
   00040    0.4425   -1267.9027  0.4722 
   00041    0.4425   -1259.0166  0.4697 
   00042    0.4200   -1256.8805  0.4676 
   00043    0.4450   -1268.8365  0.4662 
   00044    0.4200   -1272.5156  0.4781 
   00045    0.4050   -1285.3387  0.4917 
   00046    0.4100   -1279.1302  0.4855 
   00047    0.4500   -1290.9722  0.4835 
   00048    0.3925   -1292.7234  0.4669 
   00049    0.4000   -1306.1924  0.4900 
   00050    0.4275   -1329.8511  0.5003 
   00051    0.4400   -1321.6255  0.5022 
   00052    0.4125   -1329.7260  0.5075 
   00053    0.4300   -1329.0936  0.5072 
   00054    0.4225   -1326.4561  0.5230 
   00055    0.4250   -1328.9921  0.5237 
   00056    0.3975   -1326.0829  0.5089 
   00057    0.4675   -1327.3154  0.5202 
   00058    0.4600   -1321.4637  0.5204 
   00059    0.4500   -1336.3417  0.5374 
   00060    0.4150   -1328.5481  0.5629 
   00061    0.4250   -1324.6571  0.5648 
   00062    0.4300   -1340.2366  0.5754 
   00063    0.4350   -1354.8311  0.5615 
   00064    0.4500   -1364.8368  0.5445 
   00065    0.4375   -1352.7068  0.5360 
   00066    0.4200   -1345.0884  0.5300 
   00067    0.4125   -1329.1558  0.5313 
   00068    0.4550   -1306.8411  0.5425 
   00069    0.3900   -1308.7529  0.5469 
   00070    0.4125   -1321.9851  0.5529 
   00071    0.4350   -1317.5563  0.5638 
   00072    0.4150   -1315.5488  0.5509 
   00073    0.4175   -1336.3286  0.5477 
   00074    0.4475   -1325.8590  0.5519 
   00075    0.4625   -1328.2922  0.5722 
   00076    0.4075   -1329.1179  0.5751 
   00077    0.4550   -1337.0917  0.5730 
   00078    0.4100   -1330.8440  0.5872 
   00079    0.4425   -1321.7904  0.5865 
   00080    0.4550   -1312.6593  0.5875 
   00081    0.4075   -1304.1396  0.5808 
   00082    0.4275   -1305.5500  0.5727 
   00083    0.4475   -1305.4048  0.5567 
   00084    0.3900   -1325.1646  0.5727 
   00085    0.4075   -1324.7792  0.5782 
