#=====================================================
# File created:        Sun-22-Feb-2026-at-06-01-37PM
# Size of lattice:     20x20
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        0.280846
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -448.7884  0.2568 
   00001    0.6475    -656.4484  0.2734 
   00002    0.6100    -815.2508  0.2719 
   00003    0.5200    -876.5451  0.2727 
   00004    0.5400    -937.8043  0.2709 
   00005    0.5450    -976.1407  0.2795 
   00006    0.5125   -1009.4231  0.2987 
   00007    0.4950   -1048.1479  0.2808 
   00008    0.4950   -1082.4742  0.2857 
   00009    0.5175   -1141.1400  0.2988 
   00010    0.4800   -1172.0282  0.2996 
   00011    0.5150   -1192.5350  0.3038 
   00012    0.4150   -1204.5665  0.2980 
   00013    0.4600   -1211.9347  0.3038 
   00014    0.4725   -1215.8824  0.3246 
   00015    0.4475   -1224.4014  0.3365 
   00016    0.4275   -1242.2623  0.3510 
   00017    0.4875   -1256.6527  0.3461 
   00018    0.4450   -1273.9662  0.3509 
   00019    0.4600   -1284.0597  0.3498 
   00020    0.4650   -1272.6399  0.3584 
   00021    0.4475   -1265.2811  0.3552 
   00022    0.4350   -1278.0117  0.3577 
   00023    0.4225   -1291.7732  0.3646 
   00024    0.4475   -1289.9355  0.3632 
   00025    0.4150   -1307.0736  0.3655 
   00026    0.4100   -1295.3844  0.3606 
   00027    0.4150   -1300.6420  0.3568 
   00028    0.4250   -1303.9534  0.3606 
   00029    0.4500   -1292.2686  0.3523 
   00030    0.4525   -1290.0310  0.3758 
   00031    0.4275   -1296.4338  0.3877 
   00032    0.4375   -1300.1597  0.3815 
   00033    0.4175   -1296.8544  0.3720 
   00034    0.3925   -1288.9625  0.3826 
   00035    0.3975   -1271.4299  0.3949 
   00036    0.4200   -1279.5944  0.4096 
   00037    0.4125   -1283.0310  0.4000 
   00038    0.4375   -1304.3542  0.3879 
   00039    0.4475   -1308.5977  0.3881 
   00040    0.4100   -1319.0847  0.4034 
   00041    0.4375   -1305.8762  0.4089 
   00042    0.4275   -1302.5854  0.4188 
   00043    0.4250   -1315.4696  0.4062 
   00044    0.4050   -1317.4336  0.4038 
   00045    0.4300   -1318.6984  0.4084 
   00046    0.4625   -1313.4413  0.4296 
   00047    0.3875   -1313.0851  0.4277 
   00048    0.4250   -1318.5967  0.4255 
