#=====================================================
# File created:        Sun-22-Feb-2026-at-06-02-40PM
# Size of lattice:     100x100
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        17.027092
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10162.8906  0.2552 
   00001    0.6768  -15000.4883  0.2569 
   00002    0.6230  -18298.9629  0.2591 
   00003    0.5795  -20495.1562  0.2600 
   00004    0.5495  -22191.6699  0.2573 
   00005    0.5367  -23618.6289  0.2607 
   00006    0.5263  -24786.8008  0.2646 
   00007    0.5070  -25666.5645  0.2586 
   00008    0.4951  -26505.3691  0.2598 
   00009    0.4929  -27224.6230  0.2661 
   00010    0.4663  -27695.7480  0.2666 
   00011    0.4748  -28174.5273  0.2740 
   00012    0.4736  -28596.2520  0.2779 
   00013    0.4639  -28925.5586  0.2789 
   00014    0.4634  -29161.0293  0.2801 
   00015    0.4670  -29459.8555  0.2825 
   00016    0.4559  -29722.3457  0.2824 
   00017    0.4524  -30106.3242  0.2833 
   00018    0.4451  -30177.8125  0.2831 
   00019    0.4411  -30369.5820  0.2802 
   00020    0.4413  -30533.5820  0.2808 
   00021    0.4506  -30708.1152  0.2848 
   00022    0.4531  -30782.8223  0.2840 
   00023    0.4459  -30866.8027  0.2858 
   00024    0.4399  -30946.2832  0.2861 
   00025    0.4398  -31041.5234  0.2884 
   00026    0.4493  -31098.2676  0.2876 
   00027    0.4444  -31298.8145  0.2900 
   00028    0.4316  -31329.6758  0.2906 
   00029    0.4305  -31495.9062  0.2917 
   00030    0.4294  -31512.3125  0.2893 
   00031    0.4375  -31590.0195  0.2863 
   00032    0.4296  -31640.7441  0.2891 
   00033    0.4345  -31778.4980  0.2892 
   00034    0.4321  -31869.4941  0.2911 
   00035    0.4294  -31964.0137  0.2908 
   00036    0.4261  -32079.2129  0.2932 
   00037    0.4340  -32177.9922  0.2903 
   00038    0.4272  -32101.7559  0.2893 
   00039    0.4286  -32128.0566  0.2946 
   00040    0.4262  -32163.8379  0.2964 
   00041    0.4298  -32062.3496  0.2922 
   00042    0.4260  -32059.9219  0.2938 
   00043    0.4294  -32040.8613  0.2948 
   00044    0.4249  -31964.7773  0.2959 
   00045    0.4307  -32157.3594  0.3024 
   00046    0.4319  -32319.6035  0.3010 
   00047    0.4247  -32347.3242  0.2987 
   00048    0.4351  -32439.3496  0.2957 
   00049    0.4318  -32383.5000  0.2962 
   00050    0.4320  -32388.2930  0.2971 
   00051    0.4341  -32406.2168  0.2926 
   00052    0.4318  -32375.0840  0.2945 
   00053    0.4166  -32338.6191  0.2999 
   00054    0.4306  -32374.1758  0.3023 
   00055    0.4273  -32364.7129  0.3036 
   00056    0.4310  -32349.4863  0.3038 
   00057    0.4269  -32373.6602  0.2999 
   00058    0.4326  -32310.7500  0.2985 
   00059    0.4281  -32361.9219  0.2988 
   00060    0.4335  -32451.4824  0.2985 
   00061    0.4321  -32517.6543  0.2979 
   00062    0.4307  -32484.3516  0.2996 
   00063    0.4262  -32497.2051  0.3000 
   00064    0.4352  -32662.8184  0.3033 
   00065    0.4220  -32689.3945  0.3070 
   00066    0.4184  -32651.4883  0.3064 
   00067    0.4247  -32669.7363  0.3072 
   00068    0.4208  -32717.2461  0.3069 
   00069    0.4251  -32580.0137  0.3043 
   00070    0.4243  -32583.6016  0.3060 
   00071    0.4227  -32656.5508  0.3033 
   00072    0.4277  -32715.4238  0.3011 
   00073    0.4249  -32655.2969  0.3004 
   00074    0.4200  -32602.2207  0.2985 
   00075    0.4218  -32733.1328  0.3009 
   00076    0.4248  -32692.3945  0.3017 
   00077    0.4240  -32761.9395  0.3058 
   00078    0.4192  -32790.6914  0.3055 
   00079    0.4279  -32689.7676  0.3079 
   00080    0.4086  -32651.1172  0.3069 
   00081    0.4286  -32706.6133  0.3072 
   00082    0.4180  -32746.3457  0.3067 
   00083    0.4196  -32792.4922  0.3038 
   00084    0.4237  -32883.9609  0.3035 
   00085    0.4220  -32846.3047  0.3063 
   00086    0.4266  -32901.2305  0.3059 
   00087    0.4258  -32853.6914  0.3053 
   00088    0.4221  -32871.1992  0.3036 
   00089    0.4153  -32914.9219  0.2999 
   00090    0.4159  -32876.0273  0.2988 
   00091    0.4164  -32910.3594  0.2995 
   00092    0.4236  -32964.4102  0.2967 
   00093    0.4286  -33011.8164  0.2947 
   00094    0.4179  -32972.6602  0.2918 
   00095    0.4232  -32987.8711  0.2917 
   00096    0.4252  -32994.9805  0.2900 
   00097    0.4181  -33078.1289  0.2891 
   00098    0.4136  -33132.7734  0.2894 
   00099    0.4134  -33060.1836  0.2904 
   00100    0.4178  -33038.5820  0.2930 
   00101    0.4169  -33000.1445  0.2918 
   00102    0.4156  -33074.7383  0.2967 
   00103    0.4164  -33049.3281  0.2972 
   00104    0.4226  -33119.2930  0.2951 
   00105    0.4296  -33002.1797  0.2945 
   00106    0.4203  -33025.1172  0.2890 
   00107    0.4279  -33034.6250  0.2910 
   00108    0.4174  -32942.9492  0.2890 
   00109    0.4316  -33029.5312  0.2866 
   00110    0.4200  -33075.0508  0.2866 
   00111    0.4249  -33046.4922  0.2895 
   00112    0.4233  -33093.9141  0.2938 
   00113    0.4192  -33067.1016  0.2955 
   00114    0.4161  -33035.5859  0.2955 
   00115    0.4273  -33035.2812  0.2943 
   00116    0.4127  -32946.8242  0.2910 
   00117    0.4231  -32955.8867  0.2916 
   00118    0.4253  -32999.3555  0.2969 
   00119    0.4198  -33130.8398  0.2995 
   00120    0.4079  -33119.3320  0.2958 
   00121    0.4246  -33168.6641  0.2968 
   00122    0.4188  -33120.3789  0.2967 
   00123    0.4206  -33111.3906  0.2966 
   00124    0.4225  -33157.8789  0.2947 
   00125    0.4150  -33139.8086  0.2960 
   00126    0.4198  -33132.6797  0.2950 
   00127    0.4220  -33139.2383  0.2955 
   00128    0.4229  -33102.1055  0.2943 
   00129    0.4223  -33087.2773  0.2948 
   00130    0.4234  -33086.7812  0.2930 
   00131    0.4114  -33038.0898  0.2955 
   00132    0.4256  -33050.9336  0.2935 
   00133    0.4216  -33108.4609  0.2953 
   00134    0.4223  -33216.0625  0.2924 
   00135    0.4246  -33177.2305  0.2929 
   00136    0.4204  -33248.9805  0.2941 
   00137    0.4170  -33246.3203  0.2938 
   00138    0.4188  -33316.2812  0.2965 
   00139    0.4185  -33319.6836  0.2952 
   00140    0.4140  -33259.1367  0.2939 
   00141    0.4136  -33314.3203  0.2960 
   00142    0.4200  -33277.5273  0.2950 
   00143    0.4183  -33328.0078  0.2987 
   00144    0.4101  -33328.1914  0.2963 
   00145    0.4165  -33416.6289  0.2978 
   00146    0.4207  -33382.6328  0.3012 
   00147    0.4135  -33324.9336  0.3063 
   00148    0.4259  -33364.2383  0.3067 
   00149    0.4202  -33317.1016  0.3056 
   00150    0.4206  -33277.2188  0.3061 
   00151    0.4163  -33359.8281  0.3050 
   00152    0.4161  -33315.3945  0.3033 
   00153    0.4224  -33320.3281  0.3032 
   00154    0.4191  -33296.7539  0.3034 
   00155    0.4194  -33392.2852  0.3066 
   00156    0.4220  -33338.0156  0.3073 
   00157    0.4264  -33366.2031  0.3093 
   00158    0.3996  -33379.1641  0.3090 
   00159    0.4122  -33357.7109  0.3102 
   00160    0.4101  -33333.1562  0.3070 
   00161    0.4239  -33360.4766  0.3114 
   00162    0.4273  -33366.7539  0.3103 
   00163    0.4281  -33316.3047  0.3107 
   00164    0.4237  -33271.8594  0.3128 
   00165    0.4180  -33304.8984  0.3149 
   00166    0.4176  -33297.1445  0.3144 
   00167    0.4174  -33317.2266  0.3127 
   00168    0.4220  -33383.3359  0.3095 
   00169    0.4112  -33380.7695  0.3071 
   00170    0.4205  -33374.5547  0.3074 
   00171    0.4216  -33262.3867  0.3078 
   00172    0.4153  -33229.6914  0.3099 
   00173    0.4127  -33223.1523  0.3102 
   00174    0.4211  -33280.2383  0.3061 
   00175    0.4185  -33278.7891  0.3067 
   00176    0.4212  -33331.4141  0.3082 
   00177    0.4102  -33275.5039  0.3061 
   00178    0.4118  -33196.0547  0.3060 
   00179    0.4133  -33268.8906  0.3079 
   00180    0.4138  -33293.0977  0.3083 
   00181    0.4198  -33329.7188  0.3063 
   00182    0.4082  -33441.1680  0.3044 
   00183    0.4188  -33379.9414  0.3043 
   00184    0.4167  -33316.5859  0.3043 
   00185    0.4109  -33419.6094  0.3056 
   00186    0.4104  -33419.7578  0.3096 
   00187    0.4103  -33397.7539  0.3059 
   00188    0.4069  -33429.0039  0.3069 
