#=====================================================
# File created:        Sun-22-Feb-2026-at-06-01-54PM
# Size of lattice:     50x50
# Number of MC steps:  2000
# Reduced temperature: 0.500
# Run time (s):        7.264807
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2603.6284  0.2679 
   00001    0.6840   -3806.0593  0.2747 
   00002    0.6176   -4606.6426  0.2720 
   00003    0.5804   -5194.4302  0.2650 
   00004    0.5372   -5621.5859  0.2657 
   00005    0.5284   -5973.5317  0.2728 
   00006    0.5128   -6289.3398  0.2710 
   00007    0.5136   -6524.7534  0.2748 
   00008    0.4792   -6701.9282  0.2714 
   00009    0.4792   -6834.3911  0.2752 
   00010    0.4720   -6962.5547  0.2751 
   00011    0.4684   -7047.2539  0.2852 
   00012    0.4704   -7162.2354  0.2822 
   00013    0.4692   -7262.5747  0.2832 
   00014    0.4564   -7358.6646  0.2884 
   00015    0.4456   -7401.9150  0.2943 
   00016    0.4608   -7472.7812  0.2958 
   00017    0.4412   -7526.8120  0.2916 
   00018    0.4276   -7559.1548  0.2916 
   00019    0.4432   -7555.8442  0.2939 
   00020    0.4540   -7633.6016  0.2983 
   00021    0.4392   -7711.9673  0.2935 
   00022    0.4164   -7689.4756  0.2907 
   00023    0.4456   -7702.1646  0.2932 
   00024    0.4380   -7787.4692  0.2993 
   00025    0.4264   -7807.3301  0.3045 
   00026    0.4216   -7831.6206  0.2971 
   00027    0.4316   -7843.4741  0.3002 
   00028    0.4344   -7833.8408  0.2967 
   00029    0.4220   -7879.9395  0.2999 
   00030    0.4300   -7905.0186  0.2958 
   00031    0.4388   -7894.2944  0.2952 
   00032    0.4264   -7937.1743  0.2992 
   00033    0.4444   -7988.5454  0.3069 
   00034    0.4396   -7958.9507  0.3007 
   00035    0.4200   -7932.6968  0.3021 
   00036    0.4320   -7961.8213  0.3001 
   00037    0.4388   -7971.0781  0.3035 
   00038    0.4312   -8048.8838  0.3123 
   00039    0.4088   -8057.2837  0.3109 
   00040    0.4292   -8105.7261  0.3215 
   00041    0.4152   -8090.5752  0.3248 
   00042    0.4296   -8075.1943  0.3276 
   00043    0.4372   -8100.3818  0.3316 
   00044    0.4280   -8123.0825  0.3390 
   00045    0.4180   -8127.9365  0.3407 
   00046    0.4328   -8115.9370  0.3416 
   00047    0.4420   -8114.7534  0.3406 
   00048    0.4188   -8152.5439  0.3510 
   00049    0.4516   -8137.2983  0.3541 
   00050    0.4152   -8189.9292  0.3553 
   00051    0.4332   -8174.1030  0.3570 
   00052    0.4204   -8220.7471  0.3567 
   00053    0.4344   -8204.7236  0.3543 
   00054    0.4056   -8181.0166  0.3597 
   00055    0.4312   -8194.2490  0.3667 
   00056    0.3964   -8183.7329  0.3614 
   00057    0.4144   -8186.4888  0.3655 
   00058    0.4260   -8188.5112  0.3683 
   00059    0.4080   -8246.6963  0.3665 
   00060    0.4156   -8220.5332  0.3677 
   00061    0.4116   -8249.8418  0.3722 
   00062    0.4244   -8281.1602  0.3720 
   00063    0.4300   -8294.8662  0.3806 
   00064    0.4200   -8317.0078  0.3758 
   00065    0.4204   -8310.9766  0.3764 
   00066    0.4316   -8297.7217  0.3739 
   00067    0.4428   -8264.3213  0.3709 
   00068    0.4392   -8275.1406  0.3699 
   00069    0.4196   -8229.5713  0.3712 
   00070    0.4216   -8239.2158  0.3740 
   00071    0.4132   -8248.1064  0.3791 
   00072    0.3984   -8262.9014  0.3738 
   00073    0.4220   -8252.8193  0.3733 
   00074    0.4300   -8249.7178  0.3716 
   00075    0.4320   -8266.8701  0.3693 
   00076    0.4336   -8203.9873  0.3645 
   00077    0.4088   -8219.7344  0.3706 
   00078    0.4240   -8206.3789  0.3637 
   00079    0.4140   -8214.3057  0.3602 
   00080    0.4088   -8206.1387  0.3589 
   00081    0.4268   -8232.7510  0.3541 
   00082    0.4192   -8239.2852  0.3560 
   00083    0.4200   -8223.9688  0.3504 
   00084    0.4196   -8190.1899  0.3448 
   00085    0.4308   -8210.2344  0.3502 
   00086    0.4036   -8219.4072  0.3508 
   00087    0.4000   -8246.6582  0.3580 
   00088    0.4324   -8232.3184  0.3576 
