#=====================================================
# File created:        Sun-22-Feb-2026-at-06-01-38PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.526454
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -361.9490  0.2604 
   00001    0.6775    -582.2085  0.2928 
   00002    0.6450    -685.4933  0.2824 
   00003    0.6125    -759.9791  0.2844 
   00004    0.5975    -832.5800  0.2800 
   00005    0.5150    -898.7641  0.2751 
   00006    0.4700    -957.1985  0.2844 
   00007    0.4450   -1006.4775  0.2962 
   00008    0.5225   -1026.8638  0.3052 
   00009    0.5325   -1048.9542  0.3135 
   00010    0.5775   -1096.5764  0.3150 
   00011    0.4425   -1121.3333  0.3292 
   00012    0.4875   -1110.7173  0.3400 
   00013    0.4875   -1143.2734  0.3787 
   00014    0.4425   -1161.3943  0.3864 
   00015    0.4425   -1160.5769  0.3751 
   00016    0.4725   -1166.4708  0.3717 
   00017    0.4750   -1188.8267  0.3738 
   00018    0.4525   -1218.0801  0.3903 
   00019    0.4700   -1210.9929  0.4024 
   00020    0.4675   -1198.7047  0.3985 
   00021    0.5200   -1209.3662  0.4014 
   00022    0.4700   -1223.0013  0.4126 
   00023    0.4275   -1221.1471  0.4217 
   00024    0.4375   -1243.9706  0.4286 
   00025    0.4600   -1257.7540  0.4345 
   00026    0.4350   -1272.1577  0.4392 
   00027    0.4625   -1251.9434  0.4482 
   00028    0.4125   -1271.8046  0.4562 
   00029    0.4125   -1277.2473  0.4676 
   00030    0.4475   -1272.7759  0.4620 
   00031    0.4500   -1281.7390  0.4664 
   00032    0.4575   -1292.8085  0.4689 
   00033    0.3875   -1273.8640  0.4628 
   00034    0.4000   -1289.7688  0.4612 
   00035    0.4275   -1271.8948  0.4682 
   00036    0.4125   -1272.2072  0.4698 
   00037    0.4175   -1286.9514  0.4753 
   00038    0.4325   -1288.3019  0.4862 
   00039    0.4025   -1299.9500  0.5011 
   00040    0.4325   -1298.7200  0.5031 
   00041    0.3550   -1301.6788  0.4931 
   00042    0.4325   -1310.6794  0.4909 
   00043    0.4300   -1303.0745  0.4935 
   00044    0.4300   -1299.0320  0.5077 
   00045    0.4475   -1295.1213  0.4858 
   00046    0.4400   -1300.6331  0.4986 
   00047    0.4550   -1301.0164  0.4915 
   00048    0.4200   -1300.6929  0.4995 
   00049    0.4175   -1303.4125  0.4874 
   00050    0.4000   -1302.3931  0.4794 
   00051    0.4375   -1307.0776  0.4699 
   00052    0.4350   -1313.2069  0.4613 
   00053    0.4125   -1316.4043  0.4678 
   00054    0.4200   -1310.0059  0.4604 
   00055    0.4375   -1290.9834  0.4455 
   00056    0.4575   -1283.8085  0.4379 
   00057    0.3950   -1304.4109  0.4396 
   00058    0.4175   -1309.7712  0.4548 
   00059    0.4250   -1288.8141  0.4702 
   00060    0.3800   -1302.7001  0.4842 
   00061    0.4300   -1294.3329  0.4825 
   00062    0.3875   -1287.5216  0.4813 
   00063    0.4275   -1284.7032  0.4750 
   00064    0.4350   -1276.9810  0.4801 
   00065    0.4100   -1269.4739  0.4852 
   00066    0.4550   -1270.3942  0.4933 
   00067    0.4250   -1293.0193  0.5145 
   00068    0.4400   -1296.7996  0.5172 
   00069    0.4275   -1280.0929  0.5280 
   00070    0.4000   -1290.7394  0.5414 
   00071    0.3975   -1292.7614  0.5399 
   00072    0.4050   -1303.6720  0.5414 
   00073    0.3525   -1313.0554  0.5454 
   00074    0.4325   -1307.0157  0.5502 
   00075    0.3825   -1304.1926  0.5535 
   00076    0.4350   -1307.2738  0.5595 
   00077    0.3800   -1303.4178  0.5621 
   00078    0.3925   -1298.9646  0.5673 
   00079    0.4400   -1314.4628  0.5682 
   00080    0.4175   -1331.1208  0.5688 
   00081    0.4275   -1317.8906  0.5500 
   00082    0.4400   -1320.6353  0.5624 
   00083    0.4350   -1309.9785  0.5537 
   00084    0.4675   -1301.8267  0.5458 
   00085    0.4575   -1312.5778  0.5472 
   00086    0.3925   -1311.8245  0.5505 
   00087    0.4050   -1320.8470  0.5609 
   00088    0.3700   -1321.1750  0.5656 
   00089    0.4150   -1317.7963  0.5836 
   00090    0.4200   -1320.6731  0.5826 
   00091    0.4325   -1293.6442  0.5759 
   00092    0.4275   -1314.6893  0.5796 
   00093    0.4325   -1330.1432  0.5814 
   00094    0.4025   -1332.8927  0.5766 
   00095    0.3975   -1334.4923  0.5805 
   00096    0.4425   -1338.3108  0.5880 
   00097    0.4325   -1371.7721  0.5950 
   00098    0.4250   -1376.8831  0.5880 
   00099    0.4175   -1375.5172  0.6008 
   00100    0.4325   -1374.2239  0.5914 
   00101    0.4100   -1359.6581  0.5897 
   00102    0.3875   -1338.1948  0.5886 
   00103    0.4075   -1341.6182  0.5942 
   00104    0.4275   -1352.4272  0.5888 
   00105    0.4325   -1347.1346  0.5971 
   00106    0.4075   -1342.8479  0.5818 
   00107    0.4150   -1353.4095  0.5825 
   00108    0.4325   -1359.2556  0.5843 
   00109    0.4600   -1361.6869  0.5911 
   00110    0.4350   -1348.0037  0.5904 
   00111    0.4250   -1333.0731  0.5882 
   00112    0.3775   -1337.0133  0.5948 
   00113    0.4350   -1339.3325  0.6106 
   00114    0.4125   -1339.2991  0.6018 
   00115    0.4250   -1357.2179  0.6090 
   00116    0.3875   -1363.7185  0.6089 
   00117    0.3700   -1360.2308  0.6139 
   00118    0.3900   -1350.7278  0.6119 
   00119    0.4150   -1361.3423  0.6217 
   00120    0.3800   -1364.3497  0.6310 
   00121    0.3950   -1372.7334  0.6228 
   00122    0.3925   -1340.1736  0.6164 
   00123    0.3925   -1338.9862  0.6256 
   00124    0.4175   -1351.0161  0.6249 
   00125    0.4225   -1352.2272  0.6349 
   00126    0.4375   -1350.6626  0.6359 
   00127    0.4800   -1352.5214  0.6325 
   00128    0.4250   -1332.5592  0.6330 
   00129    0.4025   -1350.6350  0.6355 
   00130    0.4050   -1343.8636  0.6260 
   00131    0.4175   -1335.1577  0.6249 
   00132    0.4100   -1315.6555  0.6344 
   00133    0.4275   -1317.1597  0.6457 
   00134    0.4175   -1324.4160  0.6468 
   00135    0.3825   -1330.2311  0.6435 
   00136    0.4150   -1337.6322  0.6410 
   00137    0.4225   -1315.3474  0.6331 
   00138    0.4375   -1312.7914  0.6261 
   00139    0.4225   -1310.7682  0.6308 
   00140    0.4350   -1318.1820  0.6284 
   00141    0.4325   -1330.1071  0.6200 
   00142    0.4425   -1342.9761  0.6183 
   00143    0.4100   -1342.0614  0.6204 
   00144    0.3900   -1349.3741  0.6405 
   00145    0.4100   -1361.5631  0.6499 
   00146    0.4075   -1344.2917  0.6464 
   00147    0.4250   -1338.0776  0.6518 
   00148    0.4600   -1344.1932  0.6542 
   00149    0.4050   -1342.9252  0.6477 
   00150    0.4400   -1335.5015  0.6492 
   00151    0.4125   -1333.5991  0.6393 
   00152    0.4125   -1352.5729  0.6395 
   00153    0.4075   -1344.2834  0.6479 
   00154    0.3975   -1330.6296  0.6424 
   00155    0.4400   -1310.8269  0.6348 
   00156    0.4225   -1314.3956  0.6355 
   00157    0.4200   -1312.9421  0.6234 
   00158    0.3950   -1303.4548  0.6036 
   00159    0.4325   -1308.1390  0.5909 
   00160    0.4250   -1297.6871  0.5841 
   00161    0.4250   -1298.8494  0.5822 
   00162    0.4375   -1304.3354  0.5813 
   00163    0.4225   -1309.9941  0.5806 
   00164    0.4075   -1304.0552  0.5959 
   00165    0.4275   -1309.6260  0.6071 
   00166    0.3875   -1325.3823  0.6122 
   00167    0.4250   -1323.9730  0.6139 
   00168    0.4175   -1311.4021  0.6010 
   00169    0.4075   -1326.0048  0.6089 
   00170    0.4350   -1332.6121  0.6146 
   00171    0.4025   -1328.1807  0.6073 
   00172    0.3975   -1342.3224  0.6106 
   00173    0.4000   -1341.8480  0.6316 
   00174    0.3875   -1342.6484  0.6486 
