#=====================================================
# File created:        Sun-22-Feb-2026-at-06-01-47PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        3.735649
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2442.8083  0.2554 
   00001    0.7008   -3699.3674  0.2603 
   00002    0.6160   -4567.0562  0.2645 
   00003    0.5912   -5159.9902  0.2691 
   00004    0.5504   -5514.4448  0.2691 
   00005    0.5352   -5881.5508  0.2838 
   00006    0.5216   -6124.4600  0.2899 
   00007    0.5076   -6309.7808  0.2876 
   00008    0.5020   -6499.1738  0.2982 
   00009    0.5024   -6619.3862  0.2984 
   00010    0.4940   -6744.6021  0.3006 
   00011    0.4680   -6858.7095  0.3146 
   00012    0.4680   -6975.0679  0.3103 
   00013    0.4908   -7088.8584  0.3160 
   00014    0.4628   -7174.9604  0.3230 
   00015    0.4616   -7279.6494  0.3318 
   00016    0.4660   -7336.5278  0.3310 
   00017    0.4604   -7438.5098  0.3353 
   00018    0.4440   -7487.7710  0.3360 
   00019    0.4364   -7515.4277  0.3371 
   00020    0.4532   -7506.4199  0.3373 
   00021    0.4508   -7514.1738  0.3346 
   00022    0.4404   -7578.2896  0.3370 
   00023    0.4516   -7603.6353  0.3359 
   00024    0.4456   -7603.3901  0.3304 
   00025    0.4604   -7621.8887  0.3334 
   00026    0.4428   -7653.8042  0.3373 
   00027    0.4308   -7710.0059  0.3308 
   00028    0.4360   -7747.9136  0.3328 
   00029    0.4544   -7782.2202  0.3247 
   00030    0.4568   -7852.9556  0.3264 
   00031    0.4468   -7852.3701  0.3282 
   00032    0.4092   -7896.4556  0.3279 
   00033    0.4312   -7913.8984  0.3241 
   00034    0.4420   -7907.9385  0.3212 
   00035    0.4484   -7902.8096  0.3130 
   00036    0.4388   -7942.0762  0.3103 
   00037    0.4324   -7947.3950  0.3104 
   00038    0.4168   -8025.0918  0.3127 
   00039    0.4176   -8055.8838  0.3143 
   00040    0.4320   -8082.2261  0.3141 
   00041    0.4184   -8077.2246  0.3124 
   00042    0.4272   -8106.9834  0.3162 
   00043    0.4336   -8093.2871  0.3256 
   00044    0.4336   -8117.5522  0.3307 
   00045    0.4224   -8112.2402  0.3331 
   00046    0.4352   -8143.5967  0.3279 
   00047    0.4264   -8160.9229  0.3314 
   00048    0.4268   -8153.2808  0.3367 
   00049    0.4184   -8182.9224  0.3284 
   00050    0.4316   -8208.5391  0.3279 
   00051    0.4276   -8228.9648  0.3312 
   00052    0.4040   -8225.4346  0.3296 
   00053    0.4152   -8237.3281  0.3361 
   00054    0.4136   -8226.8457  0.3401 
   00055    0.4292   -8263.7383  0.3358 
   00056    0.4328   -8235.3232  0.3350 
   00057    0.4188   -8237.7119  0.3348 
   00058    0.4060   -8254.2949  0.3327 
   00059    0.4372   -8243.2480  0.3353 
   00060    0.4428   -8261.8359  0.3433 
   00061    0.4268   -8288.5020  0.3370 
   00062    0.4192   -8238.5391  0.3366 
   00063    0.4316   -8243.1855  0.3359 
   00064    0.4220   -8223.5527  0.3380 
   00065    0.4300   -8232.7236  0.3329 
   00066    0.4156   -8232.9434  0.3323 
   00067    0.4080   -8273.5352  0.3257 
   00068    0.4184   -8236.8584  0.3228 
   00069    0.4288   -8220.0664  0.3274 
   00070    0.4084   -8245.1328  0.3334 
   00071    0.4280   -8230.3555  0.3378 
   00072    0.4424   -8209.3652  0.3449 
   00073    0.4364   -8247.0020  0.3455 
   00074    0.4508   -8244.4023  0.3499 
   00075    0.4424   -8249.9229  0.3555 
   00076    0.4208   -8249.4062  0.3630 
   00077    0.4236   -8276.9521  0.3612 
   00078    0.4284   -8250.7178  0.3597 
   00079    0.4120   -8226.4268  0.3627 
   00080    0.4356   -8250.0361  0.3548 
   00081    0.4080   -8257.5059  0.3572 
   00082    0.4084   -8257.0010  0.3552 
   00083    0.4028   -8293.8770  0.3621 
   00084    0.4120   -8307.0234  0.3571 
   00085    0.4056   -8309.5381  0.3588 
   00086    0.4280   -8315.8848  0.3596 
   00087    0.4300   -8303.9326  0.3589 
   00088    0.4216   -8327.5586  0.3616 
   00089    0.4128   -8352.7246  0.3641 
   00090    0.4192   -8346.9570  0.3653 
   00091    0.4088   -8325.3145  0.3702 
   00092    0.4108   -8357.8545  0.3700 
   00093    0.4172   -8292.8018  0.3803 
   00094    0.4004   -8333.2559  0.3827 
   00095    0.4280   -8341.3066  0.3857 
   00096    0.4124   -8311.3340  0.3822 
   00097    0.4364   -8261.3994  0.3801 
   00098    0.4172   -8269.6641  0.3755 
   00099    0.4212   -8294.1025  0.3806 
   00100    0.4100   -8286.2773  0.3837 
   00101    0.4408   -8317.4844  0.3809 
   00102    0.4016   -8310.7051  0.3784 
   00103    0.4108   -8308.4092  0.3806 
   00104    0.4164   -8315.1064  0.3830 
   00105    0.4300   -8276.5879  0.3831 
