#=====================================================
# File created:        Sun-22-Feb-2026-at-06-02-23PM
# Size of lattice:     100x100
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        6.834507
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10027.7393  0.2585 
   00001    0.6872  -14780.6309  0.2623 
   00002    0.6201  -17718.6543  0.2609 
   00003    0.5890  -20239.9961  0.2650 
   00004    0.5588  -21942.0156  0.2640 
   00005    0.5342  -23375.9453  0.2637 
   00006    0.5091  -24547.4043  0.2678 
   00007    0.5102  -25569.2676  0.2726 
   00008    0.4965  -26296.6973  0.2750 
   00009    0.4860  -26984.2793  0.2777 
   00010    0.4875  -27450.8496  0.2824 
   00011    0.4741  -28029.4609  0.2854 
   00012    0.4649  -28439.6191  0.2870 
   00013    0.4597  -28883.0605  0.2893 
   00014    0.4659  -29148.6289  0.2928 
   00015    0.4537  -29356.0312  0.2954 
   00016    0.4667  -29568.7461  0.2987 
   00017    0.4574  -29874.1035  0.3021 
   00018    0.4419  -30095.0312  0.3030 
   00019    0.4443  -30234.1602  0.3065 
   00020    0.4479  -30381.0879  0.3088 
   00021    0.4515  -30502.8223  0.3094 
   00022    0.4470  -30725.9395  0.3062 
   00023    0.4399  -30915.5684  0.3039 
   00024    0.4342  -31058.3242  0.3056 
   00025    0.4475  -31184.4629  0.3088 
   00026    0.4369  -31324.8047  0.3089 
   00027    0.4342  -31400.9023  0.3073 
   00028    0.4454  -31517.4043  0.3078 
   00029    0.4318  -31594.6602  0.3047 
   00030    0.4279  -31688.6816  0.3108 
   00031    0.4337  -31804.7188  0.3161 
   00032    0.4364  -31925.3281  0.3166 
   00033    0.4341  -31985.9395  0.3181 
   00034    0.4310  -32058.1914  0.3199 
   00035    0.4268  -32111.9766  0.3176 
   00036    0.4245  -32076.2109  0.3140 
   00037    0.4220  -32169.9062  0.3141 
   00038    0.4298  -32136.6348  0.3167 
   00039    0.4303  -32281.0391  0.3178 
   00040    0.4210  -32415.1211  0.3142 
   00041    0.4241  -32394.3574  0.3111 
   00042    0.4294  -32341.9883  0.3123 
   00043    0.4208  -32289.3906  0.3116 
   00044    0.4259  -32350.7422  0.3111 
   00045    0.4251  -32442.8633  0.3135 
   00046    0.4227  -32412.9805  0.3153 
   00047    0.4345  -32444.0684  0.3134 
   00048    0.4262  -32494.7344  0.3125 
   00049    0.4210  -32526.0176  0.3127 
   00050    0.4220  -32617.9434  0.3113 
   00051    0.4265  -32645.2227  0.3097 
   00052    0.4270  -32560.5430  0.3114 
   00053    0.4203  -32510.8125  0.3155 
   00054    0.4227  -32545.8887  0.3126 
   00055    0.4248  -32545.4160  0.3128 
   00056    0.4323  -32639.4922  0.3129 
   00057    0.4288  -32690.9883  0.3095 
   00058    0.4185  -32620.0918  0.3124 
   00059    0.4166  -32632.3691  0.3112 
   00060    0.4282  -32722.3340  0.3073 
   00061    0.4270  -32764.8945  0.3117 
   00062    0.4251  -32764.3340  0.3145 
   00063    0.4222  -32686.4941  0.3135 
   00064    0.4182  -32718.8379  0.3126 
   00065    0.4238  -32810.5742  0.3130 
   00066    0.4297  -32877.7227  0.3148 
   00067    0.4246  -32891.2266  0.3193 
   00068    0.4278  -32960.0547  0.3194 
   00069    0.4254  -32911.3828  0.3177 
   00070    0.4271  -32925.1133  0.3180 
   00071    0.4176  -32977.7383  0.3204 
   00072    0.4153  -32947.9453  0.3189 
   00073    0.4205  -32977.9570  0.3208 
   00074    0.4116  -32888.9766  0.3203 
   00075    0.4220  -32899.8477  0.3203 
   00076    0.4135  -32867.8711  0.3213 
   00077    0.4231  -32923.9727  0.3215 
   00078    0.4321  -32867.8477  0.3222 
   00079    0.4178  -33030.7422  0.3178 
   00080    0.4288  -33090.5352  0.3154 
   00081    0.4130  -33197.6523  0.3153 
   00082    0.4241  -33059.0547  0.3187 
   00083    0.4201  -33035.5664  0.3165 
   00084    0.4288  -33077.8281  0.3164 
   00085    0.4184  -33140.8828  0.3207 
   00086    0.4165  -33187.5742  0.3202 
   00087    0.4257  -33189.6289  0.3185 
   00088    0.4132  -33159.4062  0.3171 
   00089    0.4205  -33130.6523  0.3151 
   00090    0.4170  -33303.0859  0.3166 
   00091    0.4149  -33211.7695  0.3137 
   00092    0.4309  -33170.9961  0.3157 
   00093    0.4225  -33141.1172  0.3157 
